"","prob","results"
"1",0.01,1
"2",0.02,1
"3",0.03,1
"4",0.04,1
"5",0.05,1
"6",0.06,1
"7",0.07,1
"8",0.08,1
"9",0.09,1
"10",0.1,1
"11",0.11,1
"12",0.12,1
"13",0.13,0.999
"14",0.14,0.999
"15",0.15,1
"16",0.16,1
"17",0.17,1
"18",0.18,0.999
"19",0.19,0.998
"20",0.2,0.992
"21",0.21,0.992
"22",0.22,0.991
"23",0.23,0.978
"24",0.24,0.978
"25",0.25,0.954
"26",0.26,0.942
"27",0.27,0.914
"28",0.28,0.895
"29",0.29,0.872
"30",0.3,0.843
"31",0.31,0.775
"32",0.32,0.752
"33",0.33,0.705
"34",0.34,0.626
"35",0.35,0.554
"36",0.36,0.543
"37",0.37,0.455
"38",0.38,0.374
"39",0.39,0.317
"40",0.4,0.275
"41",0.41,0.212
"42",0.42,0.191
"43",0.43,0.149
"44",0.44,0.15
"45",0.45,0.098
"46",0.46,0.073
"47",0.47,0.074
"48",0.48,0.066
"49",0.49,0.049
"50",0.5,0.049
"51",0.51,0.053
"52",0.52,0.062
"53",0.53,0.072
"54",0.54,0.081
"55",0.55,0.121
"56",0.56,0.125
"57",0.57,0.187
"58",0.58,0.203
"59",0.59,0.24
"60",0.6,0.288
"61",0.61,0.357
"62",0.62,0.409
"63",0.63,0.454
"64",0.64,0.514
"65",0.65,0.579
"66",0.66,0.62
"67",0.67,0.704
"68",0.68,0.742
"69",0.69,0.779
"70",0.7,0.835
"71",0.71,0.854
"72",0.72,0.91
"73",0.73,0.91
"74",0.74,0.942
"75",0.75,0.959
"76",0.76,0.978
"77",0.77,0.986
"78",0.78,0.984
"79",0.79,0.991
"80",0.8,0.995
"81",0.81,0.995
"82",0.82,0.999
"83",0.83,1
"84",0.84,0.999
"85",0.85,1
"86",0.86,1
"87",0.87,1
"88",0.88,1
"89",0.89,1
"90",0.9,1
"91",0.91,1
"92",0.92,1
"93",0.93,1
"94",0.94,1
"95",0.95,1
"96",0.96,1
"97",0.97,1
"98",0.98,1
"99",0.99,1
