"prob","results"
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,0.999
0.07,0.998
0.08,0.998
0.09,0.998
0.1,0.998
0.11,0.994
0.12,0.99
0.13,0.989
0.14,0.985
0.15,0.974
0.16,0.954
0.17,0.956
0.18,0.929
0.19,0.916
0.2,0.906
0.21,0.861
0.22,0.853
0.23,0.825
0.24,0.81
0.25,0.757
0.26,0.718
0.27,0.672
0.28,0.645
0.29,0.615
0.3,0.538
0.31,0.54
0.32,0.494
0.33,0.413
0.34,0.38
0.35,0.33
0.36,0.303
0.37,0.287
0.38,0.242
0.39,0.217
0.4,0.18
0.41,0.169
0.42,0.146
0.43,0.112
0.44,0.099
0.45,0.077
0.46,0.079
0.47,0.074
0.48,0.065
0.49,0.057
0.5,0.054
0.51,0.067
0.52,0.07
0.53,0.069
0.54,0.07
0.55,0.091
0.56,0.1
0.57,0.111
0.58,0.137
0.59,0.165
0.6,0.197
0.61,0.238
0.62,0.253
0.63,0.264
0.64,0.325
0.65,0.368
0.66,0.384
0.67,0.413
0.68,0.461
0.69,0.515
0.7,0.547
0.71,0.579
0.72,0.647
0.73,0.676
0.74,0.72
0.75,0.76
0.76,0.816
0.77,0.816
0.78,0.866
0.79,0.895
0.8,0.905
0.81,0.935
0.82,0.943
0.83,0.955
0.84,0.966
0.85,0.972
0.86,0.982
0.87,0.989
0.88,0.992
0.89,0.996
0.9,0.998
0.91,0.999
0.92,1
0.93,0.999
0.94,0.998
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
