"prob","results"
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,1
0.07,1
0.08,1
0.09,1
0.1,1
0.11,1
0.12,1
0.13,1
0.14,1
0.15,1
0.16,0.999
0.17,1
0.18,0.997
0.19,0.999
0.2,0.994
0.21,0.99
0.22,0.988
0.23,0.979
0.24,0.98
0.25,0.961
0.26,0.937
0.27,0.934
0.28,0.905
0.29,0.855
0.3,0.843
0.31,0.786
0.32,0.753
0.33,0.685
0.34,0.645
0.35,0.569
0.36,0.551
0.37,0.447
0.38,0.424
0.39,0.343
0.4,0.312
0.41,0.258
0.42,0.209
0.43,0.159
0.44,0.141
0.45,0.121
0.46,0.096
0.47,0.089
0.48,0.063
0.49,0.068
0.5,0.06
0.51,0.051
0.52,0.061
0.53,0.064
0.54,0.096
0.55,0.108
0.56,0.154
0.57,0.16
0.58,0.229
0.59,0.273
0.6,0.322
0.61,0.361
0.62,0.428
0.63,0.45
0.64,0.511
0.65,0.6
0.66,0.601
0.67,0.743
0.68,0.762
0.69,0.808
0.7,0.798
0.71,0.874
0.72,0.905
0.73,0.927
0.74,0.942
0.75,0.974
0.76,0.979
0.77,0.969
0.78,0.981
0.79,0.993
0.8,0.997
0.81,1
0.82,0.999
0.83,1
0.84,0.999
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
